,blaZ,fosB,fusC,qacA,qacB
Northland,0.69,0.15,0.08,0.00,0.00
Auckland,0.67,0.33,0.33,0.00,0.00
Waikato,0.20,0.03,0.00,0.03,0.01
Taranaki,0.23,0.02,0.00,0.03,0.10
Western Uplands,0.00,0.13,0.00,0.00,0.00
Bay of Plenty,0.23,0.15,0.08,0.00,0.00
Manawatū,0.18,0.00,0.00,0.00,0.06
Wairarapa ,0.29,0.00,0.00,0.00,0.06
Nelson/Marlborough ,0.13,0.00,0.00,0.00,0.00
West Coast,0.30,0.00,0.00,0.10,0.00
North Canterbury,0.46,0.00,0.00,0.11,0.07
South Canterbury,0.50,0.00,0.00,0.00,0.00
Otago,0.60,0.00,0.00,0.20,0.00
Southland ,0.29,0.00,0.00,0.14,0.00

